date             pg            sp
19610131       0.042987      0.063156
19610228       0.054386      0.026870
19610330       0.054908      0.025536
19610428       0.034385      0.003843
19610531      -0.035222      0.019139
19610630       0.085714     -0.028846
19610731       0.031871      0.032797
19610831       0.112376      0.019623
19610929      -0.023018     -0.019686
19611031      -0.030366      0.028323
19611130       0.029810      0.039347
19611229      -0.034211      0.003225
19620131      -0.094005     -0.037876
19620228      -0.039275      0.016270
19620330       0.078616     -0.005860
19620430      -0.053936     -0.061970
19620531      -0.102167     -0.085990
19620629      -0.137931     -0.081838
19620731       0.118000      0.063562
19620831      -0.008993      0.015284
19620928      -0.110708     -0.048207
19621031       0.036735      0.004443
19621130       0.124752      0.101557
19621231       0.003521      0.013492
19630131       0.033684      0.049128
19630228      -0.030717     -0.028852
19630329       0.042254      0.035464
19630430       0.056081      0.048520
19630531      -0.016077      0.014327
19630628      -0.009804     -0.020198
19630731      -0.027723     -0.003460
19630830       0.075085      0.048749
19630930       0.003175     -0.011034
19631031       0.008228      0.032218
19631129       0.000000     -0.010539
19631231       0.007886      0.024444
19640131       0.033646      0.026926
19640228      -0.006088      0.009865
19640331       0.036753      0.015167
19640430      -0.034712      0.006077
19640528      -0.012308      0.011452
19640630       0.031153      0.016424
19640731       0.023414      0.018240
19640831       0.001484     -0.016230
19640930       0.004444      0.028718
19641030      -0.009587      0.008078
19641130      -0.053892     -0.005185
19641231       0.031646      0.003909
19650129      -0.040337      0.033156
19650226      -0.030547     -0.001485
19650331      -0.021559     -0.014526
19650430       0.030000      0.034239
19650528      -0.021523     -0.007743
19650630      -0.021997     -0.048632
19650730       0.025433      0.013433
19650831      -0.030560      0.022522
19650930       0.005254      0.032006
19651029      -0.014460      0.027345
19651130       0.017794     -0.008764
19651231      -0.029720      0.008951
19660131       0.009009      0.004869
19660228      -0.071942     -0.017873
19660331       0.023256     -0.021815
19660429      -0.056818      0.020509
19660531       0.036437     -0.054140
19660630       0.003906     -0.016138
19660729       0.048638     -0.013453
19660831       0.035514     -0.077751
19660930       0.037906     -0.007004
19661031       0.050435      0.047544
19661130      -0.020000      0.003117
