date      KO       IBM     CAT VW   EW  SP
19610131 0.009331 0.072513 0 0.063952 0.082048 0.063156
19610228 0.103236 0.0625 0.256198 0.037005 0.06013 0.02687
19610330 0.012291 0.02963 -0.088816 0.03061 0.049888 0.025536
19610428 -0.05 0.027338 -0.054152 0.005645 0.009487 0.003843
19610531 0.087719 0.027521 0.188462 0.025894 0.041572 0.019139
19610630 -0.058065 -0.026612 -0.009709 -0.028499 -0.042415 -0.028846
19610731 0.008621 0.024185 0.019608 0.029955 0.011517 0.032797
19610831 0.022792 0.067967 0.067742 0.026854 0.021358 0.019623
19610929 0.03454 0.035611 -0.081571 -0.01999 -0.029686 -0.019686
19611031 0.00542 0.092007 -0.019737 0.027331 0.020988 0.028323
19611130 0.125067 -0.011745 0.016892 0.045451 0.046461 0.039347
19611229 -0.00241 -0.001724 0.016611 0.000713 -0.003757 0.003225
19620131 -0.099034 -0.063903 0.078431 -0.036147 -0.007807 -0.037876
19620228 -0.016086 -0.007841 -0.015244 0.019512 0.015405 0.01627
19620330 0.041962 -0.007914 0.012384 -0.004688 -0.006241 -0.00586
19620430 -0.026316 -0.147818 -0.125382 -0.063435 -0.068134 -0.06197
19620531 -0.091892 -0.133811 -0.03169 -0.08462 -0.098186 -0.08599
19620629 -0.082143 -0.135669 -0.072727 -0.082615 -0.085125 -0.081838
19620731 0.120915 0.140752 0.003922 0.065438 0.064 0.063562
19620831 -0.007289 0.02584 0.106299 0.023414 0.037061 0.015284
19620928 -0.070778 -0.107886 -0.103203 -0.050154 -0.06383 -0.048207
19621031 0.012739 -0.021216 0.051587 0.002184 -0.039528 0.004443
19621130 0.092453 0.153902 0.098859 0.110137 0.121176 0.101557
19621231 -0.011594 -0.02133 0.034602 0.011865 -0.025561 0.013492
19630131 0.058651 0.086538 0.036789 0.051848 0.08914 0.049128
19630228 -0.00277 -0.054277 -0.090909 -0.021931 -0.014477 -0.028852
19630329 0.046389 0.053158 0.042857 0.032917 0.012027 0.035464
19630430 -0.010695 0.101544 0.028767 0.047439 0.02689 0.04852
19630531 0.005405 0.031267 0.191275 0.020051 0.032306 0.014327
19630628 0.015323 -0.085909 -0.028169 -0.01803 -0.010383 -0.020198
19630731 0.018667 -0.004011 0.012754 -0.001718 -0.006304 -0.00346
19630830 0.070681 0.025892 0.034582 0.052684 0.042305 0.048749
19630930 0.004156 0.016301 -0.036212 -0.011898 -0.010373 -0.011034
19631031 0.014706 0.09292 0.082081 0.027708 0.012208 0.032218
19631129 0.019807 -0.015182 0.013441 -0.005549 -0.016139 -0.010539
19631231 0.102503 0.044822 0.018568 0.021736 -0.004228 0.024444
19640131 0.021622 0.069034 0.097396 0.02579 0.032092 0.026926
19640228 0.003175 0.052122 0.0358 0.017207 0.025173 0.009865
19640331 0.067511 0.044376 0.133641 0.017636 0.02551 0.015167
19640430 0.005964 -0.040387 -0.017886 0.004608 0.001004 0.006077
19640528 0.009881 0.05491 0.03125 0.017403 0.007507 0.011452
19640630 0.034247 -0.00625 0.060606 0.01508 0.010411 0.016424
19640731 0.050428 -0.031447 0.057524 0.020118 0.030161 0.01824
19640831 -0.009058 -0.043831 -0.021739 -0.011266 -0.006038 -0.01623
19640930 -0.007313 -0.009081 0.051852 0.03048 0.038248 0.028718
19641030 -0.033333 -0.037801 0.069014 0.008869 0.018821 0.008078
19641130 0.032567 -0.014881 0.112583 0.003089 -0.000516 -0.005185
19641231 0.050373 -0.007273 -0.017857 0.00369 -0.012365 0.003909
19650129 0.094139 0.095238 -0.009091 0.038646 0.071403 0.033156
19650226 0.022727 0.019509 0.089231 0.006946 0.032315 -0.001485
19650331 -0.062857 -0.003291 -0.079096 -0.009715 0.015393 -0.014526
19650430 0.074957 0.067694 0.128834 0.033652 0.04156 0.034239
19650528 -0.001585 -0.01134 -0.032787 -0.00435 -0.005845 -0.007743
19650630 -0.018413 -0.041841 -0.028249 -0.051868 -0.083718 -0.048632
19650730 0.001626 0.045852 -0.034884 0.016759 0.028633 0.013433
19650831 0.019481 0.044885 0.063636 0.030883 0.041844 0.022522
19650930 0.005414 0.027054 0.065527 0.031952 0.02742 0.032006
19651029 -0.015924 0.04 0.064171 0.029271 0.058679 0.027345
19651130 0.057282 -0.012195 0.073232 0.003065 0.046544 -0.008764
19651231 0.058462 -0.049524 -0.063529 0.013545 0.042981 0.008951
19660131 -0.002907 -0.006012 -0.00402 0.012122 0.06417 0.004869
19660228 -0.072886 0.041331 -0.073604 -0.008621 0.028865 -0.017873
19660331 0.062579 0.001942 0.021918 -0.020923 -0.008889 -0.021815
19660429 -0.071429 0.080426 -0.103485 0.024837 0.046619 0.020509
19660531 0.016026 -0.021031 0.03012 -0.052539 -0.086024 -0.05414
19660630 -0.049211 -0.02968 -0.02924 -0.010317 -0.004988 -0.016138
19660729 0.03005 -0.027817 -0.098193 -0.01287 -0.016316 -0.013453
19660831 -0.027553 -0.0562 -0.030303 -0.075388 -0.100714 -0.077751
19660930 -0.000333 -0.00936 -0.048611 -0.006958 -0.018161 -0.007004
19661031 0.105705 0.045669 0.030657 0.042294 -0.014385 0.047544
19661130 0.049772 0.135843 0.057143 0.017516 0.040725 0.003117
19661230 0.042151 -0.011968 -0.054054 0.00621 0.017306 -0.001492
19670131 0.059972 0.07537 0.151429 0.08553 0.172104 0.078178
19670228 0.057895 0.079099 -0.09375 0.010945 0.042368 0.001963
19670331 0.032587 0.048837 0.213793 0.043384 0.058244 0.03941
19670428 0.096852 0.100887 0.123295 0.041609 0.041928 0.042239
19670531 -0.004415 -0.035234 -0.07888 -0.039293 -0.008098 -0.052441
19670630 0.097783 0.067024 -0.016575 0.026903 0.081958 0.017512
19670731 0.035497 0.020603 0.071348 0.049189 0.083251 0.045344
19670831 -0.061704 -0.013589 -0.015831 -0.006282 0.006312 -0.011715
19670929 0.037787 0.097049 0.018767 0.034286 0.062963 0.032785
19671031 0 0.082535 -0.048947 -0.027433 -0.020594 -0.029056
19671130 0.119394 0.033024 -0.064067 0.007902 0.000878 0.001065
19671229 -0.039855 0.02451 0.032738 0.033699 0.080465 0.026277
19680131 -0.049057 -0.051834 -0.079539 -0.03633 0.023902 -0.043848
19680229 0.011905 -0.022204 -0.072555 -0.033624 -0.056118 -0.031223
19680329 0.051176 0.056034 0.010204 0.005116 -0.011218 0.0094
19680430 0.097378 0.106122 0.152862 0.094148 0.143031 0.081929
19680531 0.006826 0.055793 -0.052941 0.027041 0.091309 0.011169
19680628 0.000678 -0.009104 -0.049689 0.011527 0.016225 0.00912
19680730 -0.047619 -0.042403 -0.018301 -0.022024 -0.02621 -0.018478
19680830 0.046429 -0.009151 0.14094 0.018038 0.035918 0.011459
19680930 -0.018089 0 0.079412 0.044454 0.068808 0.038539
19681031 -0.001745 -0.081642 0.052861 0.009041 0.006913 0.007208
19681129 0.044406 0.087134 -0.002604 0.058502 0.071994 0.047964
19681231 -0.038655 -0.05618 -0.088773 -0.033873 0.005896 -0.041617
19690131 0.003497 -0.059524 0.084241 -0.006711 -0.001688 -0.008184
19690228 -0.047038 -0.007004 -0.039894 -0.05364 -0.085728 -0.047374
19690328 0.039561 0.070303 0.102493 0.030506 0.02029 0.034444
19690430 0.019435 0.044586 0.053769 0.020526 0.003459 0.021476
19690529 0.039861 -0.025 0.028777 0.00504 0.006262 -0.002218
19690630 -0.068933 0.058777 -0.058275 -0.067387 -0.113404 -0.055577
19690731 -0.023381 -0.03923 -0.078218 -0.065172 -0.095823 -0.060178
19690829 0.075506 0.066256 -0.002703 0.05149 0.052175 0.040074
19690930 0.064452 0.000725 -0.03794 -0.02259 -0.024618 -0.025024
19691031 0.080775 0.044171 -0.00169 0.055638 0.092413 0.044244
19691128 -0.063318 -0.006935 -0.059659 -0.032164 -0.055078 -0.035274
19691231 0.054487 0.021008 0.02719 -0.019681 -0.066178 -0.018655
19700130 -0.036474 -0.080247 -0.137059 -0.073254 -0.03883 -0.076472
19700227 0.045741 0.018494 0.092784 0.056706 0.040195 0.052693
19700331 -0.02733 -0.005143 0.103774 -0.004729 -0.023712 0.001453
19700430 -0.080997 -0.119645 -0.118519 -0.105318 -0.161963 -0.090483
19700529 -0.035593 -0.063087 -0.087948 -0.064346 -0.090524 -0.060967
19700630 -0.019543 -0.100719 -0.010714 -0.051075 -0.073904 -0.050033
19700731 0.048649 0.0138 -0.045487 0.074169 0.059258 0.073295
19700831 -0.013746 0.0555 0.019084 0.050036 0.061617 0.044459
19700930 0.043345 0.095775 0.067416 0.047536 0.126098 0.032998
19701030 0.057047 0.011825 -0.023158 -0.018208 -0.058604 -0.0114
19701130 0.068063 0.045068 0.123188 0.050448 0.003021 0.047447
19701231 0.01194 0.034174 0.103226 0.060723 0.081324 0.056766
19710129 0.026549 0.02439 0.121053 0.05203 0.136096 0.040477
19710226 0.001437 0.037788 -0.015748 0.016913 0.04791 0.009074
19710331 0.086313 0.062407 0.016 0.044778 0.056603 0.036796
19710430 0.019894 0.000699 0.130709 0.033332 0.027087 0.036288
19710528 0.046814 -0.08232 -0.074766 -0.036409 -0.049435 -0.041558
19710630 0.023801 -0.030581 -0.015152 0.003119 -0.01724 0.000703
19710730 -0.026797 -0.08123 0.007179 -0.040283 -0.053634 -0.041324
19710831 0.091364 0.04824 0.105128 0.042511 0.041159 0.036095
19710930 -0.000963 -0.000822 -0.055684 -0.005016 -0.004653 -0.006968
19711029 0.004608 -0.0107 -0.125799 -0.040682 -0.057468 -0.041794
19711130 -0.003257 0.020965 -0.053824 -0.001262 -0.03415 -0.002547
19711231 0.127021 0.101473 0.131737 0.091257 0.117128 0.086179
19720131 -0.018443 0.093611 0.049735 0.028383 0.103892 0.018121
19720229 0.042797 0.005027 -0.015228 0.031349 0.041809 0.025303
19720330 0.012292 0.037313 0.108247 0.008722 -0.000951 0.005912
19720428 0.034722 0.00981 0.015814 0.005505 0.001231 0.004384
19720531 0.019175 0.033938 0.046083 0.016375 -0.018121 0.017275
19720630 0.007789 -0.014456 0.039648 -0.020896 -0.033775 -0.021821
19720731 0.06367 0.022321 0.046186 -0.004254 -0.029488 0.002333
19720831 -0.005282 0.022707 0.063136 0.035966 0.012252 0.034454
19720929 0.001133 -0.004896 -0.011494 -0.007671 -0.030725 -0.004861
19721031 0.019504 -0.051661 0.007364 0.008676 -0.013767 0.009317
19721130 -0.005843 0.017769 0.054159 0.049764 0.051096 0.045617
19721229 0.042105 0.028133 -0.023853 0.011243 -0.019873 0.011828
19730131 -0.018519 0.083333 -0.03985 -0.027455 -0.026133 -0.017111
19730228 -0.037736 -0.00597 0.01378 -0.044368 -0.072836 -0.03749
19730330 -0.000535 0 -0.021359 -0.007851 -0.028981 -0.001433
19730430 -0.012522 -0.054461 -0.005952 -0.051759 -0.07062 -0.0408
19730531 0.019928 -0.032261 -0.048193 -0.024503 -0.083582 -0.018884
19730629 0.019893 0.007149 -0.018987 -0.008647 -0.037745 -0.006575
19730731 0.006114 -0.007886 0.075269 0.056954 0.105922 0.037982
19730831 -0.021701 -0.039364 0.034205 -0.029648 -0.044417 -0.036685
19730928 0.041526 -0.142857 0.101167 0.053937 0.072995 0.040096
19731031 -0.024786 0.08624 0.016254 -0.000427 0.000303 -0.001291
19731130 -0.086941 -0.050419 -0.068182 -0.120703 -0.175252 -0.113861
19731231 -0.025048 -0.068868 0.005629 0.011425 -0.041764 0.016569
19740131 -0.071146 -0.006079 -0.100373 0.004408 0.132374 -0.010046
19740228 -0.021277 -0.024852 0.012526 0.002352 0.008623 -0.003624
19740329 -0.037978 -0.008933 -0.026804 -0.023365 0.008379 -0.02328
19740430 -0.041998 -0.036055 0.000424 -0.045957 -0.055537 -0.039051
